"Season","PlayerId","Player","Team","Conference","Category","StatType","Stat"
"2023","-126086"," Team","Post University","Independent DII","rushing","CAR","1"
"2023","-126086"," Team","Post University","Independent DII","rushing","LONG","0"
"2023","-126086"," Team","Post University","Independent DII","rushing","TD","0"
"2023","-126086"," Team","Post University","Independent DII","rushing","YDS","-1"
"2023","-126086"," Team","Post University","Independent DII","rushing","YPC","-1.0"
"2023","-112358"," Team","Long Island University","NEC","rushing","CAR","5"
"2023","-112358"," Team","Long Island University","NEC","rushing","LONG","0"
"2023","-112358"," Team","Long Island University","NEC","rushing","TD","0"
"2023","-112358"," Team","Long Island University","NEC","rushing","YDS","-26"
"2023","-112358"," Team","Long Island University","NEC","rushing","YPC","-5.2"
"2023","-107062"," Team","Houston Christian","Southland","defensive","PD","0"
"2023","-107062"," Team","Houston Christian","Southland","defensive","QB HUR","0"
"2023","-107062"," Team","Houston Christian","Southland","defensive","SACKS","0"
"2023","-107062"," Team","Houston Christian","Southland","defensive","SOLO","1"
"2023","-107062"," Team","Houston Christian","Southland","defensive","TD","0"
"2023","-107062"," Team","Houston Christian","Southland","defensive","TFL","0"
"2023","-107062"," Team","Houston Christian","Southland","defensive","TOT","1"
"2023","-107062"," Team","Houston Christian","Southland","passing","ATT","1"
"2023","-107062"," Team","Houston Christian","Southland","passing","COMPLETIONS","0"
"2023","-107062"," Team","Houston Christian","Southland","passing","INT","0"
"2023","-107062"," Team","Houston Christian","Southland","passing","PCT","0.000"
"2023","-107062"," Team","Houston Christian","Southland","passing","TD","0"
"2023","-107062"," Team","Houston Christian","Southland","passing","YDS","0"
"2023","-107062"," Team","Houston Christian","Southland","passing","YPA","0.0"
"2023","-107062"," Team","Houston Christian","Southland","rushing","CAR","5"
"2023","-107062"," Team","Houston Christian","Southland","rushing","LONG","0"
"2023","-107062"," Team","Houston Christian","Southland","rushing","TD","0"
"2023","-107062"," Team","Houston Christian","Southland","rushing","YDS","-15"
"2023","-107062"," Team","Houston Christian","Southland","rushing","YPC","-3.0"
"2023","-107006"," Team","Charlotte","American Athletic","fumbles","FUM","1"
"2023","-107006"," Team","Charlotte","American Athletic","fumbles","LOST","0"
"2023","-107006"," Team","Charlotte","American Athletic","fumbles","REC","0"
"2023","-107006"," Team","Charlotte","American Athletic","passing","ATT","1"
"2023","-107006"," Team","Charlotte","American Athletic","passing","COMPLETIONS","0"
"2023","-107006"," Team","Charlotte","American Athletic","passing","INT","0"
"2023","-107006"," Team","Charlotte","American Athletic","passing","PCT","0.000"
"2023","-107006"," Team","Charlotte","American Athletic","passing","TD","0"
"2023","-107006"," Team","Charlotte","American Athletic","passing","YDS","0"
"2023","-107006"," Team","Charlotte","American Athletic","passing","YPA","0.0"
"2023","-107006"," Team","Charlotte","American Athletic","rushing","CAR","7"
"2023","-107006"," Team","Charlotte","American Athletic","rushing","LONG","0"
"2023","-107006"," Team","Charlotte","American Athletic","rushing","TD","0"
"2023","-107006"," Team","Charlotte","American Athletic","rushing","YDS","-29"
"2023","-107006"," Team","Charlotte","American Athletic","rushing","YPC","-4.1"
"2023","-106999"," Team","Stetson","Pioneer","punting","In 20","0"
"2023","-106999"," Team","Stetson","Pioneer","punting","LONG","0"
"2023","-106999"," Team","Stetson","Pioneer","punting","NO","2"
"2023","-106999"," Team","Stetson","Pioneer","punting","TB","0"
"2023","-106999"," Team","Stetson","Pioneer","punting","YDS","0"
"2023","-106999"," Team","Stetson","Pioneer","punting","YPP","0.0"
"2023","-106999"," Team","Stetson","Pioneer","rushing","CAR","2"
"2023","-106999"," Team","Stetson","Pioneer","rushing","LONG","0"
"2023","-106999"," Team","Stetson","Pioneer","rushing","TD","0"
"2023","-106999"," Team","Stetson","Pioneer","rushing","YDS","-3"
"2023","-106999"," Team","Stetson","Pioneer","rushing","YPC","-1.5"
"2023","-106998"," Team","Mercer","Southern","fumbles","FUM","1"
"2023","-106998"," Team","Mercer","Southern","fumbles","LOST","1"
"2023","-106998"," Team","Mercer","Southern","fumbles","REC","0"
"2023","-106998"," Team","Mercer","Southern","passing","ATT","1"
"2023","-106998"," Team","Mercer","Southern","passing","COMPLETIONS","0"
"2023","-106998"," Team","Mercer","Southern","passing","INT","0"
"2023","-106998"," Team","Mercer","Southern","passing","PCT","0.000"
"2023","-106998"," Team","Mercer","Southern","passing","TD","0"
"2023","-106998"," Team","Mercer","Southern","passing","YDS","0"
"2023","-106998"," Team","Mercer","Southern","passing","YPA","0.0"
"2023","-106998"," Team","Mercer","Southern","punting","In 20","0"
"2023","-106998"," Team","Mercer","Southern","punting","LONG","0"
"2023","-106998"," Team","Mercer","Southern","punting","NO","2"
"2023","-106998"," Team","Mercer","Southern","punting","TB","0"
"2023","-106998"," Team","Mercer","Southern","punting","YDS","0"
"2023","-106998"," Team","Mercer","Southern","punting","YPP","0.0"
"2023","-106998"," Team","Mercer","Southern","rushing","CAR","21"
"2023","-106998"," Team","Mercer","Southern","rushing","LONG","0"
"2023","-106998"," Team","Mercer","Southern","rushing","TD","0"
"2023","-106998"," Team","Mercer","Southern","rushing","YDS","-37"
"2023","-106998"," Team","Mercer","Southern","rushing","YPC","-1.8"
"2023","-103071"," Team","UTSA","American Athletic","passing","ATT","3"
"2023","-103071"," Team","UTSA","American Athletic","passing","COMPLETIONS","0"
"2023","-103071"," Team","UTSA","American Athletic","passing","INT","0"
"2023","-103071"," Team","UTSA","American Athletic","passing","PCT","0.000"
"2023","-103071"," Team","UTSA","American Athletic","passing","TD","0"
"2023","-103071"," Team","UTSA","American Athletic","passing","YDS","0"
"2023","-103071"," Team","UTSA","American Athletic","passing","YPA","0.0"
"2023","-103071"," Team","UTSA","American Athletic","rushing","CAR","16"
"2023","-103071"," Team","UTSA","American Athletic","rushing","LONG","0"
"2023","-103071"," Team","UTSA","American Athletic","rushing","TD","0"
"2023","-103071"," Team","UTSA","American Athletic","rushing","YDS","-16"
"2023","-103071"," Team","UTSA","American Athletic","rushing","YPC","-1.0"
"2023","-96544"," Team","Lamar","Southland","fumbles","FUM","1"
"2023","-96544"," Team","Lamar","Southland","fumbles","LOST","0"
"2023","-96544"," Team","Lamar","Southland","fumbles","REC","0"
"2023","-96544"," Team","Lamar","Southland","punting","In 20","0"
"2023","-96544"," Team","Lamar","Southland","punting","LONG","0"
"2023","-96544"," Team","Lamar","Southland","punting","NO","2"
"2023","-96544"," Team","Lamar","Southland","punting","TB","0"
"2023","-96544"," Team","Lamar","Southland","punting","YDS","0"
"2023","-96544"," Team","Lamar","Southland","punting","YPP","0.0"
"2023","-96544"," Team","Lamar","Southland","rushing","CAR","7"
