Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1,Donnie Abraham,31,NYJ,LCB,16,16,2,66,1,66,13.0,0,0,2,39,1,0.0,53.0,38.0,15.0,3.0,0,
2,Flozell Adams,29,DAL,LT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,7.0,6.0,1.0,0.0,0,PB
3,Sam Adams,31,BUF,LDT,16,16,1,0,0,0,3.0,0,0,0,0,0,5.0,42.0,27.0,15.0,11.0,0,PB
4,Brent Alexander,33,NYG,FS/SS,16,16,3,3,0,2,7.0,1,0,2,29,0,2.0,80.0,56.0,24.0,3.0,0,
5,Shaun Alexander,27,SEA,RB,16,16,0,0,0,0,0.0,0,5,2,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-2"
6,Will Allen,26,NYG,LCB,16,16,1,11,0,11,19.0,1,0,0,0,0,1.0,81.0,75.0,6.0,3.0,0,
7,Akin Ayodele,25,JAX,RLB,16,16,0,0,0,0,3.0,2,0,1,0,0,2.0,93.0,76.0,17.0,2.0,0,
8,Jason Babin,24,HOU,LOLB,16,16,0,0,0,0,5.0,0,0,2,22,0,4.0,63.0,51.0,12.0,13.0,0,
9,Jeff Backus,27,DET,LT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
10,Champ Bailey,26,DEN,LCB,16,16,3,0,0,0,12.0,0,0,0,0,0,0.0,81.0,68.0,13.0,6.0,0,"PB,AP-1"
11,Ronde Barber,29,TAM,RCB,16,16,3,23,0,23,13.0,1,0,2,27,2,3.0,99.0,84.0,15.0,8.0,0,"PB,AP-1"
12,Nick Barnett,23,GNB,MLB,16,16,1,16,0,16,6.0,0,0,1,7,0,3.0,123.0,92.0,31.0,9.0,0,
13,David Barrett,27,NYJ,RCB,16,16,2,14,0,14,13.0,1,0,0,0,0,0.0,78.0,64.0,14.0,6.0,0,
14,Gary Baxter,26,BAL,RCB,16,16,1,33,0,33,13.0,2,1,0,0,0,2.0,88.0,72.0,16.0,3.0,0,
15,Anthony Becht,27,NYJ,TE,16,16,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
16,Jay Bellamy,32,NOR,SS,16,16,0,0,0,0,1.0,2,0,3,12,0,0.0,92.0,74.0,18.0,3.0,0,
17,Drew Bennett,26,TEN,WR,16,16,0,0,0,0,0.0,0,3,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
18,Bertrand Berry,29,ARI,RDE,16,16,0,0,0,0,4.0,4,0,2,9,0,14.5,48.0,40.0,8.0,14.0,0,"PB,AP-2"
19,Drew Bledsoe,32,BUF,QB,16,16,0,0,0,0,0.0,0,9,2,-56,0,0.0,,,,,0,
20,Kyle Boller,23,BAL,QB,16,16,0,0,0,0,0.0,0,11,4,-5,0,0.0,0.0,0.0,0.0,0.0,0,
21,Tom Brady,27,NWE,QB,16,16,0,0,0,0,0.0,0,7,1,-17,0,0.0,0.0,0.0,0.0,0.0,0,PB
22,Lance Briggs,24,CHI,RLB,16,16,1,38,1,38,10.0,0,0,0,11,0,0.5,127.0,103.0,24.0,7.0,0,
23,Raheem Brock,26,IND,LDE,16,16,0,0,0,0,4.0,1,0,2,0,0,6.5,47.0,36.0,11.0,13.0,0,
24,Keith Brooking,29,ATL,LLB,16,16,3,41,0,27,6.0,2,0,1,4,0,2.5,102.0,86.0,16.0,2.0,0,"PB,AP-2"
25,Aaron Brooks,28,NOR,QB,16,16,0,0,0,0,0.0,0,13,6,-12,0,0.0,0.0,0.0,0.0,0.0,0,
26,Derrick Brooks,31,TAM,RLB,16,16,1,3,0,3,6.0,2,0,0,0,0,3.0,137.0,109.0,28.0,4.0,0,"PB,AP-1"
27,Alex Brown,25,CHI,RDE,16,16,0,0,0,0,9.0,3,0,1,0,0,6.0,56.0,44.0,12.0,10.0,0,
28,Sheldon Brown,25,PHI,RCB,16,16,2,33,0,33,16.0,1,0,0,0,0,3.0,89.0,66.0,23.0,4.0,0,
29,Isaac Bruce,32,STL,WR,16,16,0,0,0,0,0.0,0,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
30,Tedy Bruschi,31,NWE,RILB,16,16,3,70,0,36,6.0,2,0,0,0,0,3.5,124.0,78.0,46.0,7.0,0,"PB,AP-2"
31,Ray Buchanan,33,OAK,FS,16,16,1,27,0,27,6.0,1,0,0,0,0,0.0,92.0,66.0,26.0,0.0,0,
32,Keith Bulluck,27,TEN,RLB,16,16,2,25,0,25,13.0,1,0,1,39,1,5.0,152.0,100.0,52.0,9.0,0,
33,Jerametrius Butler,26,STL,LCB,16,16,5,15,0,10,19.0,0,0,1,2,0,0.0,79.0,73.0,6.0,0.0,0,
34,David Carr,25,HOU,QB,16,16,0,0,0,0,0.0,0,10,4,-8,0,0.0,0.0,0.0,0.0,0.0,0,
35,Kevin Carter,31,TEN,LDT,16,16,0,0,0,0,1.0,1,0,1,0,0,6.0,49.0,26.0,23.0,7.0,0,
36,Corey Chavous,28,MIN,SS,16,16,1,0,0,0,6.0,1,0,0,0,0,0.0,81.0,61.0,20.0,2.0,0,
37,Danny Clark,27,OAK,MLB,16,16,0,0,0,0,5.0,1,0,0,0,0,2.0,130.0,99.0,31.0,10.0,0,
38,Nate Clements,25,BUF,RCB,16,16,6,77,1,35,14.0,5,3,2,0,0,0.5,79.0,58.0,21.0,3.0,0,PB
39,Dexter Coakley,32,DAL,RLB,16,16,0,0,0,0,6.0,0,0,1,0,0,0.0,71.0,53.0,18.0,2.0,0,
40,Erik Coleman,22,NYJ,FS,16,16,4,43,0,37,12.0,0,0,1,0,0,2.0,100.0,73.0,27.0,4.0,0,
41,Marco Coleman,35,DEN,LDE,16,16,0,0,0,0,0.0,1,0,1,-2,0,2.5,28.0,21.0,7.0,2.0,0,
42,Laveranues Coles,27,WAS,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
43,Daunte Culpepper,27,MIN,QB,16,16,0,0,0,0,0.0,0,9,0,-11,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP OPoY-2"
44,Chartric Darby,29,TAM,RDT,16,16,0,0,0,0,0.0,1,0,1,0,0,0.0,50.0,40.0,10.0,4.0,0,
45,Donovin Darius,29,JAX,SS,16,16,5,80,0,37,7.0,2,0,4,0,0,0.0,89.0,61.0,28.0,1.0,0,
46,Russell Davis,29,ARI,LDT,16,16,0,0,0,0,3.0,1,0,0,0,0,1.0,50.0,39.0,11.0,4.0,0,
47,Jake Delhomme,29,CAR,QB,16,16,0,0,0,0,0.0,0,12,5,-13,0,0.0,0.0,0.0,0.0,0.0,0,
48,Will Demps,25,BAL,FS,16,16,1,0,0,0,7.0,2,0,2,2,0,2.5,87.0,67.0,20.0,3.0,0,
49,David Diehl,24,NYG,RT,16,16,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
50,Ryan Diem,25,IND,RT,16,16,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,3.0,2.0,0.0,0,
51,Warrick Dunn,29,ATL,RB,16,16,0,0,0,0,0.0,0,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
52,Andre Dyson,25,TEN,LCB,16,16,6,135,0,44,15.0,0,0,0,0,0,0.0,41.0,35.0,6.0,0.0,0,
53,Donnie Edwards,31,SDG,LILB,16,16,5,49,1,30,14.0,2,0,0,0,0,1.0,152.0,106.0,46.0,2.0,0,"AP-2,AP DPoY-5"
54,Greg Ellis,29,DAL,LDE,16,16,0,0,0,0,9.0,1,0,0,0,0,9.0,59.0,44.0,15.0,10.0,0,
55,James Farrior,29,PIT,LILB,16,16,4,113,1,41,12.0,3,0,3,0,0,3.0,95.0,67.0,28.0,9.0,0,"PB,AP-1,AP DPoY-2"
56,Mario Fatafehi,25,DEN,LDT,16,16,0,0,0,0,3.0,0,0,1,8,0,2.5,21.0,14.0,7.0,4.0,0,
57,Brett Favre,35,GNB,QB,16,16,0,0,0,0,0.0,0,4,1,-8,0,0.0,0.0,0.0,0.0,0.0,0,
58,Larry Fitzgerald,21,ARI,WR,16,16,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
59,London Fletcher,29,BUF,MLB,16,16,0,0,0,0,4.0,2,0,1,0,0,3.5,144.0,94.0,50.0,10.0,0,
60,Steve Foley,29,SDG,ROLB,16,16,2,4,0,4,12.0,5,0,2,0,0,10.0,65.0,48.0,17.0,10.0,0,
