Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty
,Donnie Abraham,31,NYJ,LCB,16,16,2,66,1,66,13.0,0,0,2,39,1,0.0,53.0,38.0,15.0,3.0,0
,Flozell Adams,29,DAL,LT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,7.0,6.0,1.0,0.0,0
,Sam Adams,31,BUF,LDT,16,16,1,0,0,0,3.0,0,0,0,0,0,5.0,42.0,27.0,15.0,11.0,0
,Brent Alexander,33,NYG,FS/SS,16,16,3,3,0,2,7.0,1,0,2,29,0,2.0,80.0,56.0,24.0,3.0,0
,Shaun Alexander,27,SEA,RB,16,16,0,0,0,0,0.0,0,5,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Akin Ayodele,25,JAX,RLB,16,16,0,0,0,0,3.0,2,0,1,0,0,2.0,93.0,76.0,17.0,2.0,0
,Jason Babin,24,HOU,LOLB,16,16,0,0,0,0,5.0,0,0,2,22,0,4.0,63.0,51.0,12.0,13.0,0
,Jeff Backus,27,DET,LT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Champ Bailey,26,DEN,LCB,16,16,3,0,0,0,12.0,0,0,0,0,0,0.0,81.0,68.0,13.0,6.0,0
,Ronde Barber,29,TAM,RCB,16,16,3,23,0,23,13.0,1,0,2,27,2,3.0,99.0,84.0,15.0,8.0,0
,Nick Barnett,23,GNB,MLB,16,16,1,16,0,16,6.0,0,0,1,7,0,3.0,123.0,92.0,31.0,9.0,0
,David Barrett,27,NYJ,RCB,16,16,2,14,0,14,13.0,1,0,0,0,0,0.0,78.0,64.0,14.0,6.0,0
,Gary Baxter,26,BAL,RCB,16,16,1,33,0,33,13.0,2,1,0,0,0,2.0,88.0,72.0,16.0,3.0,0
,Anthony Becht,27,NYJ,TE,16,16,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0
,Jay Bellamy,32,NOR,SS,16,16,0,0,0,0,1.0,2,0,3,12,0,0.0,92.0,74.0,18.0,3.0,0
,Drew Bennett,26,TEN,WR,16,16,0,0,0,0,0.0,0,3,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Bertrand Berry,29,ARI,RDE,16,16,0,0,0,0,4.0,4,0,2,9,0,14.5,48.0,40.0,8.0,14.0,0
,Drew Bledsoe,32,BUF,QB,16,16,0,0,0,0,0.0,0,9,2,-56,0,0.0,,,,,0
,Kyle Boller,23,BAL,QB,16,16,0,0,0,0,0.0,0,11,4,-5,0,0.0,0.0,0.0,0.0,0.0,0
,Tom Brady,27,NWE,QB,16,16,0,0,0,0,0.0,0,7,1,-17,0,0.0,0.0,0.0,0.0,0.0,0
,Lance Briggs,24,CHI,RLB,16,16,1,38,1,38,10.0,0,0,0,11,0,0.5,127.0,103.0,24.0,7.0,0
,Raheem Brock,26,IND,LDE,16,16,0,0,0,0,4.0,1,0,2,0,0,6.5,47.0,36.0,11.0,13.0,0
,Keith Brooking,29,ATL,LLB,16,16,3,41,0,27,6.0,2,0,1,4,0,2.5,102.0,86.0,16.0,2.0,0
,Aaron Brooks,28,NOR,QB,16,16,0,0,0,0,0.0,0,13,6,-12,0,0.0,0.0,0.0,0.0,0.0,0
