Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Unnamed: 29_level_0
Rk,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards
1.0,Jason Elam,34.0,DEN,K,16.0,0.0,0.0,0.0,10.0,10.0,8.0,7.0,12.0,9.0,4.0,3.0,34.0,29.0,52.0,85.3,42.0,42.0,100.0,1.0,18.0,0.0,0.0,18.0,
2.0,Jeff Reed,25.0,PIT,K,16.0,0.0,1.0,1.0,9.0,8.0,13.0,12.0,8.0,5.0,2.0,2.0,33.0,28.0,51.0,84.8,40.0,40.0,100.0,84.0,5127.0,7.0,8.3,61.0,
3.0,Adam Vinatieri,32.0,NWE,K,16.0,0.0,0.0,0.0,13.0,13.0,7.0,7.0,12.0,11.0,1.0,0.0,33.0,31.0,48.0,93.9,48.0,48.0,100.0,94.0,5886.0,6.0,6.4,63.0,"PB,AP-1"
4.0,David Akers,30.0,PHI,K,16.0,0.0,0.0,0.0,4.0,4.0,7.0,6.0,18.0,15.0,3.0,2.0,32.0,27.0,51.0,84.4,42.0,41.0,97.6,86.0,5557.0,12.0,14.0,65.0,"PB,AP-2"
5.0,Matt Stover,36.0,BAL,K,16.0,0.0,2.0,2.0,9.0,9.0,8.0,7.0,10.0,9.0,3.0,2.0,32.0,29.0,50.0,90.6,30.0,30.0,100.0,23.0,1441.0,2.0,8.7,63.0,
6.0,Shayne Graham,27.0,CIN,K,16.0,0.0,0.0,0.0,7.0,7.0,12.0,10.0,8.0,7.0,4.0,3.0,31.0,27.0,53.0,87.1,41.0,41.0,100.0,82.0,4956.0,2.0,2.4,60.0,
7.0,Josh Scobee,22.0,JAX,K,16.0,0.0,0.0,0.0,10.0,10.0,11.0,8.0,7.0,5.0,3.0,1.0,31.0,24.0,53.0,77.4,21.0,21.0,100.0,62.0,3955.0,11.0,17.7,64.0,
8.0,Doug Brien,34.0,NYJ,K,16.0,0.0,0.0,0.0,10.0,9.0,6.0,4.0,11.0,10.0,2.0,1.0,29.0,24.0,53.0,82.8,34.0,33.0,97.1,3.0,199.0,0.0,0.0,66.0,
9.0,Phil Dawson,29.0,CLE,K,16.0,0.0,0.0,0.0,11.0,11.0,8.0,6.0,9.0,6.0,1.0,1.0,29.0,24.0,50.0,82.8,28.0,28.0,100.0,69.0,4170.0,5.0,7.2,60.0,
