Player ID,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
,David Akers,34.0,PHI,K,16.0,0.0,2.0,2.0,11.0,11.0,12.0,10.0,10.0,8.0,5.0,2.0,40.0,33.0,51.0,82.5,45.0,45.0,100.0,89.0,5834.0,17.0,19.1,66.0
140616.0,Stephen Gostkowski,24.0,NWE,K,16.0,0.0,0.0,0.0,11.0,9.0,17.0,17.0,11.0,9.0,1.0,1.0,40.0,36.0,50.0,90.0,40.0,40.0,100.0,95.0,6027.0,17.0,17.9,63.0
,Matt Bryant,33.0,TAM,K,16.0,0.0,0.0,0.0,12.0,12.0,15.0,15.0,8.0,5.0,3.0,0.0,38.0,32.0,49.0,84.2,36.0,35.0,97.2,82.0,5143.0,6.0,7.3,63.0
,John Carney,44.0,NYG,K,15.0,0.0,0.0,0.0,15.0,15.0,15.0,14.0,7.0,5.0,1.0,1.0,38.0,35.0,51.0,92.1,38.0,38.0,100.0,79.0,4738.0,3.0,3.8,60.0
,Rian Lindell,31.0,BUF,K,16.0,0.0,1.0,1.0,8.0,7.0,11.0,11.0,15.0,10.0,3.0,1.0,38.0,30.0,53.0,78.9,34.0,34.0,100.0,77.0,4704.0,10.0,13.0,61.0
,Josh Brown,29.0,STL,K,16.0,0.0,0.0,0.0,8.0,8.0,7.0,7.0,13.0,10.0,8.0,6.0,36.0,31.0,54.0,86.1,19.0,19.0,100.0,66.0,4446.0,8.0,12.1,67.0
,Phil Dawson,33.0,CLE,K,16.0,0.0,0.0,0.0,10.0,10.0,14.0,12.0,6.0,5.0,6.0,3.0,36.0,30.0,56.0,83.3,18.0,18.0,100.0,66.0,4228.0,12.0,18.2,64.0
100363.0,Shaun Suisham,27.0,WAS,K,16.0,0.0,0.0,0.0,7.0,7.0,9.0,7.0,16.0,11.0,4.0,1.0,36.0,26.0,50.0,72.2,25.0,25.0,100.0,68.0,4199.0,9.0,13.2,62.0
145297.0,Mason Crosby,24.0,GNB,K,16.0,0.0,1.0,1.0,8.0,8.0,13.0,10.0,6.0,5.0,6.0,3.0,34.0,27.0,53.0,79.4,46.0,46.0,100.0,92.0,5785.0,17.0,18.5,63.0
,Ryan Longwell,34.0,MIN,K,16.0,0.0,0.0,0.0,10.0,10.0,9.0,7.0,9.0,6.0,6.0,6.0,34.0,29.0,54.0,85.3,40.0,40.0,100.0,84.0,5411.0,6.0,7.1,64.0
,Matt Prater,24.0,DEN,K,16.0,0.0,0.0,0.0,8.0,7.0,9.0,8.0,11.0,5.0,6.0,5.0,34.0,25.0,56.0,73.5,40.0,39.0,97.5,83.0,5396.0,19.0,22.9,65.0
,Rob Bironas,30.0,TEN,K,16.0,0.0,0.0,0.0,6.0,6.0,7.0,7.0,19.0,15.0,1.0,1.0,33.0,29.0,51.0,87.9,40.0,40.0,100.0,85.0,5615.0,22.0,25.9,66.0
,Kris Brown,32.0,HOU,K,16.0,0.0,0.0,0.0,10.0,9.0,10.0,10.0,10.0,8.0,3.0,2.0,33.0,29.0,53.0,87.9,37.0,37.0,100.0,84.0,5378.0,9.0,10.7,64.0
,Joe Nedney,35.0,SFO,K,16.0,0.0,0.0,0.0,9.0,9.0,10.0,10.0,11.0,8.0,3.0,2.0,33.0,29.0,53.0,87.9,34.0,34.0,100.0,78.0,4948.0,9.0,11.5,63.0
,Matt Stover,40.0,BAL,K,16.0,0.0,0.0,0.0,11.0,11.0,12.0,11.0,9.0,5.0,1.0,0.0,33.0,27.0,47.0,81.8,41.0,41.0,100.0,42.0,2617.0,5.0,11.9,62.0
,Nate Kaeding,26.0,SDG,K,16.0,0.0,0.0,0.0,13.0,13.0,10.0,10.0,8.0,3.0,1.0,1.0,32.0,27.0,57.0,84.4,46.0,46.0,100.0,92.0,5854.0,8.0,8.7,64.0
,Jason Elam,38.0,ATL,K,16.0,0.0,0.0,0.0,11.0,11.0,8.0,7.0,10.0,10.0,2.0,1.0,31.0,29.0,50.0,93.5,42.0,42.0,100.0,0.0,0.0,0.0,,
,John Kasay,39.0,CAR,K,16.0,0.0,0.0,0.0,7.0,7.0,9.0,9.0,12.0,11.0,3.0,1.0,31.0,28.0,50.0,90.3,46.0,46.0,100.0,2.0,41.0,0.0,0.0,21.0
,Jeff Reed,29.0,PIT,K,16.0,0.0,1.0,1.0,9.0,9.0,9.0,8.0,10.0,8.0,2.0,1.0,31.0,27.0,53.0,87.1,37.0,36.0,97.3,79.0,4894.0,9.0,11.4,62.0
,Sebastian Janikowski,30.0,OAK,K,16.0,0.0,0.0,0.0,11.0,11.0,8.0,8.0,4.0,2.0,7.0,3.0,30.0,24.0,57.0,80.0,26.0,25.0,96.2,67.0,4356.0,22.0,32.8,65.0
120324.0,Robbie Gould,26.0,CHI,K,16.0,0.0,0.0,0.0,6.0,6.0,12.0,12.0,11.0,8.0,0.0,0.0,29.0,26.0,48.0,89.7,41.0,41.0,100.0,79.0,5124.0,9.0,11.4,65.0
,Jay Feely,32.0,NYJ,K,15.0,0.0,0.0,0.0,9.0,9.0,12.0,9.0,5.0,4.0,2.0,2.0,28.0,24.0,55.0,85.7,39.0,39.0,100.0,80.0,5036.0,7.0,8.8,63.0
,Neil Rackers,32.0,ARI,K,16.0,0.0,0.0,0.0,9.0,9.0,11.0,9.0,6.0,6.0,2.0,1.0,28.0,25.0,54.0,89.3,44.0,44.0,100.0,90.0,5646.0,15.0,16.7,63.0
,Olindo Mare,35.0,SEA,K,16.0,0.0,0.0,0.0,7.0,7.0,10.0,9.0,6.0,5.0,4.0,3.0,27.0,24.0,51.0,88.9,30.0,30.0,100.0,71.0,4703.0,22.0,31.0,66.0
159528.0,Dan Carpenter,23.0,MIA,K,16.0,0.0,0.0,0.0,4.0,4.0,7.0,7.0,13.0,9.0,1.0,1.0,25.0,21.0,50.0,84.0,40.0,40.0,100.0,75.0,4758.0,7.0,9.3,63.0
,Josh Scobee,26.0,JAX,K,16.0,0.0,0.0,0.0,7.0,7.0,6.0,3.0,7.0,5.0,5.0,4.0,25.0,19.0,53.0,76.0,33.0,33.0,100.0,66.0,4143.0,10.0,15.2,63.0
,Adam Vinatieri,36.0,IND,K,16.0,0.0,0.0,0.0,3.0,3.0,13.0,11.0,7.0,4.0,2.0,2.0,25.0,20.0,52.0,80.0,43.0,43.0,100.0,80.0,5176.0,8.0,10.0,65.0
,Shayne Graham,31.0,CIN,K,14.0,0.0,1.0,1.0,5.0,5.0,7.0,6.0,11.0,9.0,0.0,0.0,24.0,21.0,45.0,87.5,15.0,15.0,100.0,52.0,3253.0,8.0,15.4,63.0
479837.0,Nick Folk,24.0,DAL,K,16.0,0.0,0.0,0.0,1.0,1.0,8.0,7.0,11.0,10.0,2.0,2.0,22.0,20.0,52.0,90.9,42.0,42.0,100.0,75.0,4509.0,0.0,0.0,60.0
,Jason Hanson,38.0,DET,K,16.0,0.0,0.0,0.0,3.0,3.0,5.0,4.0,6.0,6.0,8.0,8.0,22.0,21.0,56.0,95.5,26.0,25.0,96.2,66.0,4270.0,7.0,10.6,65.0
161713.0,Garrett Hartley,22.0,NOR,K,8.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,13.0,13.0,47.0,100.0,28.0,28.0,100.0,49.0,3190.0,9.0,18.4,65.0
162664.0,Connor Barth,22.0,KAN,K,10.0,0.0,0.0,0.0,6.0,6.0,4.0,3.0,1.0,1.0,1.0,0.0,12.0,10.0,45.0,83.3,24.0,24.0,100.0,46.0,2714.0,4.0,8.7,59.0
,Martin Gramatica,33.0,NOR,K,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,2.0,1.0,10.0,6.0,53.0,60.0,16.0,16.0,100.0,15.0,998.0,4.0,26.7,67.0
102394.0,Nick Novak,27.0,KAN,K,6.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,0.0,10.0,6.0,43.0,60.0,7.0,7.0,100.0,17.0,1079.0,0.0,0.0,64.0
160479.0,Taylor Mehlhaff,23.0,NOR,K,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,44.0,75.0,10.0,9.0,90.0,17.0,1071.0,1.0,5.9,63.0
240963.0,Stephen Hauschka,23.0,BAL,K,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,54.0,50.0,0.0,0.0,,14.0,905.0,1.0,7.1,65.0
122199.0,Mike Nugent,26.0,NYJ,K,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,2.0,100.0,3.0,158.0,0.0,0.0,53.0
118966.0,Dave Rayner,26.0,CIN,K,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,100.0,3.0,3.0,100.0,6.0,401.0,1.0,16.7,67.0
,Lawrence Tynes,30.0,NYG,K,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,100.0,3.0,3.0,100.0,6.0,356.0,1.0,16.7,59.0
