Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Unnamed: 17_level_0,Unnamed: 18_level_0
Rk,Player,Age,Team,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
1.0,Tramon Williams,27.0,GNB,RCB,16.0,16.0,41.0,326.0,0.0,52.0,8.0,0.0,0.0,0.0,0.0,,418.0,PB
2.0,Danny Amendola,25.0,STL,WR,16.0,6.0,40.0,452.0,0.0,42.0,11.3,50.0,1142.0,0.0,84.0,22.8,2364.0,
3.0,Javier Arenas,23.0,KAN,DB,16.0,2.0,39.0,322.0,0.0,36.0,8.3,24.0,509.0,0.0,35.0,21.2,836.0,
4.0,Greg Camarillo,28.0,MIN,WR,16.0,1.0,39.0,359.0,0.0,52.0,9.2,0.0,0.0,0.0,0.0,,599.0,
5.0,Brandon Banks,23.0,WAS,WR,13.0,0.0,38.0,431.0,0.0,53.0,11.3,46.0,1155.0,1.0,96.0,25.1,1602.0,
6.0,Nick Miller,23.0,OAK,WR,9.0,0.0,35.0,257.0,0.0,46.0,7.3,2.0,37.0,0.0,27.0,18.5,334.0,
7.0,Andre Roberts,22.0,ARI,WR,15.0,2.0,35.0,263.0,0.0,25.0,7.5,14.0,326.0,0.0,47.0,23.3,896.0,
8.0,Mike Thomas,23.0,JAX,WR,16.0,11.0,34.0,358.0,1.0,78.0,10.5,0.0,0.0,0.0,0.0,,1292.0,
9.0,Devin Hester,28.0,CHI,WR,16.0,13.0,33.0,564.0,3.0,89.0,17.1,12.0,427.0,0.0,79.0,35.6,1496.0,"PB,AP-1"
10.0,Quan Cosby,28.0,CIN,WR,16.0,0.0,30.0,225.0,0.0,20.0,7.5,3.0,44.0,0.0,18.0,14.7,285.0,
11.0,Stefan Logan,29.0,DET,RB,16.0,0.0,30.0,362.0,0.0,71.0,12.1,55.0,1448.0,1.0,105.0,26.3,1909.0,
12.0,Captain Munnerlyn,22.0,CAR,LCB,16.0,5.0,30.0,327.0,0.0,37.0,10.9,2.0,87.0,0.0,64.0,43.5,451.0,
13.0,Jacoby Jones,26.0,HOU,WR,15.0,7.0,29.0,204.0,0.0,39.0,7.0,23.0,494.0,0.0,35.0,21.5,1267.0,
14.0,Micheal Spurlock,27.0,TAM,WR,16.0,1.0,28.0,193.0,0.0,23.0,6.9,44.0,1129.0,1.0,89.0,25.7,1572.0,
15.0,Marc Mariani,23.0,TEN,WR,16.0,0.0,27.0,329.0,1.0,87.0,12.2,60.0,1530.0,1.0,98.0,25.5,1859.0,PB
16.0,Davone Bess,25.0,MIA,WR,16.0,8.0,25.0,284.0,0.0,47.0,11.4,0.0,0.0,0.0,0.0,,1101.0,
