Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Unnamed: 19_level_0
Rk,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards
1.0,Bryan Anger,25.0,JAX,P,16.0,0.0,95.0,4338.0,45.7,330.0,3848.0,40.5,61.0,8.0,8.4,31.0,32.6,0.0,
2.0,Steve Weatherford,31.0,NYG,P,16.0,0.0,91.0,4271.0,46.9,655.0,3476.0,38.2,68.0,7.0,7.7,25.0,27.5,0.0,
3.0,Sam Koch,31.0,BAL,P,16.0,0.0,90.0,4138.0,46.0,419.0,3539.0,38.9,69.0,9.0,10.0,27.0,30.0,1.0,
4.0,Shane Lechler,37.0,HOU,P,16.0,0.0,88.0,4189.0,47.6,530.0,3519.0,40.0,65.0,7.0,8.0,34.0,38.6,0.0,
5.0,Dustin Colquitt,31.0,KAN,P,16.0,0.0,87.0,4005.0,46.0,246.0,3539.0,40.2,65.0,11.0,12.6,35.0,40.2,1.0,
6.0,Michael Koenen,31.0,TAM,P,16.0,0.0,87.0,3846.0,44.2,393.0,3333.0,38.3,62.0,6.0,6.9,19.0,21.8,0.0,
7.0,Brandon Fields,29.0,MIA,P,16.0,0.0,85.0,4150.0,48.8,407.0,3603.0,42.4,74.0,7.0,8.2,33.0,38.8,0.0,"PB,AP-2"
8.0,Marquette King,25.0,OAK,P,16.0,0.0,84.0,4107.0,48.9,438.0,3449.0,40.1,66.0,11.0,13.1,23.0,27.4,2.0,
9.0,Spencer Lanning,25.0,CLE,P,16.0,0.0,84.0,3679.0,43.8,357.0,3222.0,37.9,59.0,5.0,6.0,28.0,33.3,1.0,
10.0,Saverio Rocca,40.0,WAS,P,16.0,0.0,84.0,3526.0,42.0,655.0,2871.0,33.8,63.0,0.0,0.0,26.0,31.0,1.0,
11.0,Donnie Jones,33.0,PHI,P,16.0,0.0,82.0,3681.0,44.9,223.0,3358.0,40.5,70.0,5.0,6.1,33.0,40.2,1.0,
12.0,Andy Lee,31.0,SFO,P,16.0,0.0,79.0,3804.0,48.2,330.0,3294.0,41.7,62.0,9.0,11.4,27.0,34.2,0.0,
13.0,Johnny Hekker,23.0,STL,P,16.0,0.0,78.0,3609.0,46.3,79.0,3450.0,44.2,64.0,4.0,5.1,19.0,24.4,0.0,"PB,AP-1"
14.0,Brett Kern,27.0,TEN,P,16.0,0.0,78.0,3386.0,43.4,210.0,3136.0,39.7,63.0,2.0,2.6,32.0,41.0,1.0,
15.0,Dave Zastudil,35.0,ARI,P,16.0,0.0,78.0,3566.0,45.7,321.0,3125.0,40.1,60.0,6.0,7.7,35.0,44.9,0.0,
16.0,Chris Jones,24.0,DAL,P,16.0,0.0,77.0,3467.0,45.0,339.0,3008.0,39.1,62.0,6.0,7.8,30.0,39.0,0.0,
17.0,Ryan Allen,23.0,NWE,P,16.0,0.0,76.0,3491.0,45.9,221.0,3030.0,39.9,65.0,12.0,15.8,29.0,38.2,0.0,
18.0,Pat McAfee,26.0,IND,P,16.0,0.0,76.0,3499.0,46.0,396.0,2963.0,38.5,65.0,7.0,9.2,27.0,35.5,1.0,
19.0,Jeff Locke,24.0,MIN,P,16.0,0.0,75.0,3316.0,44.2,318.0,2938.0,39.2,65.0,3.0,4.0,23.0,30.7,0.0,
20.0,Jon Ryan,32.0,SEA,P,16.0,0.0,74.0,3159.0,42.7,82.0,2977.0,39.2,69.0,5.0,6.8,28.0,37.8,2.0,
21.0,Sam Martin,23.0,DET,P,16.0,0.0,72.0,3399.0,47.2,250.0,2949.0,40.4,72.0,10.0,13.9,22.0,30.6,1.0,
22.0,Ryan Quigley,23.0,NYJ,P,14.0,0.0,72.0,3278.0,45.5,381.0,2837.0,39.4,67.0,3.0,4.2,21.0,29.2,0.0,
23.0,Brad Nortman,24.0,CAR,P,16.0,0.0,70.0,3344.0,47.8,335.0,2909.0,41.6,72.0,5.0,7.1,25.0,35.7,0.0,
24.0,Matthew Bosher,26.0,ATL,P,16.0,0.0,68.0,3166.0,46.6,251.0,2875.0,41.1,63.0,2.0,2.9,26.0,38.2,2.0,
25.0,Adam Podlesh,30.0,CHI,P,16.0,0.0,68.0,2763.0,40.6,111.0,2612.0,37.9,65.0,2.0,2.9,27.0,39.7,1.0,
26.0,Kevin Huber,28.0,CIN,P,14.0,0.0,66.0,2982.0,45.2,229.0,2673.0,40.5,75.0,4.0,6.1,24.0,36.4,0.0,
27.0,Britton Colquitt,28.0,DEN,P,16.0,0.0,65.0,2893.0,44.5,274.0,2559.0,38.8,60.0,3.0,4.6,23.0,35.4,1.0,
28.0,Tim Masthay,26.0,GNB,P,16.0,0.0,64.0,2854.0,44.6,261.0,2493.0,39.0,62.0,5.0,7.8,22.0,34.4,0.0,
29.0,Brian Moorman,37.0,BUF,P,11.0,0.0,61.0,2511.0,41.2,197.0,2234.0,36.6,62.0,4.0,6.6,16.0,26.2,0.0,
30.0,Thomas Morstead,27.0,NOR,P,16.0,0.0,61.0,2859.0,46.9,180.0,2579.0,42.3,61.0,5.0,8.2,25.0,41.0,0.0,
