Player ID,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck
170311.0,Thomas Morstead,37.0,NYJ,P,17.0,0.0,99.0,4831.0,48.8,540.0,4131.0,41.7,62.0,8.0,8.1,36.0,36.4,0.0
4393519.0,Bryce Baringer,24.0,NWE,P,17.0,0.0,98.0,4598.0,46.9,441.0,3997.0,40.8,79.0,8.0,8.2,38.0,38.8,0.0
3936185.0,Jamie Gillan,26.0,NYG,P,17.0,0.0,95.0,4371.0,46.0,283.0,4008.0,42.2,74.0,4.0,4.2,35.0,36.8,0.0
4039396.0,Corey Bojorquez,27.0,CLE,P,16.0,0.0,87.0,4294.0,49.4,443.0,3671.0,42.2,73.0,9.0,10.3,31.0,35.6,0.0
379324.0,Johnny Hekker,33.0,CAR,P,17.0,0.0,82.0,3838.0,46.8,262.0,3476.0,42.4,69.0,5.0,6.1,25.0,30.5,0.0
514471.0,Riley Dixon,30.0,DEN,P,17.0,0.0,79.0,3659.0,46.3,263.0,3276.0,41.5,68.0,6.0,7.6,27.0,34.2,0.0
4240485.0,Pressley Harvin III,25.0,PIT,P,15.0,0.0,78.0,3419.0,43.8,249.0,3050.0,39.1,63.0,6.0,7.7,30.0,38.5,0.0
4379396.0,Jake Camarda,24.0,TAM,P,17.0,0.0,77.0,3854.0,50.1,511.0,3173.0,41.2,74.0,9.0,11.7,26.0,33.8,0.0
4258197.0,Brad Robbins,25.0,CIN,P,17.0,0.0,76.0,3369.0,44.3,220.0,3048.0,40.1,62.0,5.0,6.6,20.0,26.3,0.0
,AJ Cole III,28.0,LVR,P,17.0,0.0,75.0,3783.0,50.4,385.0,3278.0,43.7,83.0,6.0,8.0,34.0,45.3,0.0
4568308.0,Lou Hedley,30.0,NOR,P,17.0,0.0,75.0,3224.0,43.0,168.0,2976.0,39.7,62.0,4.0,5.3,31.0,41.3,0.0
534595.0,Bradley Pinion,29.0,ATL,P,17.0,0.0,75.0,3523.0,47.0,380.0,3083.0,41.1,66.0,3.0,4.0,27.0,36.0,0.0
3126368.0,JK Scott,28.0,LAC,P,17.0,0.0,75.0,3475.0,46.3,231.0,3164.0,42.2,83.0,4.0,5.3,30.0,40.0,0.0
377859.0,Tress Way,33.0,WAS,P,17.0,0.0,73.0,3361.0,46.0,272.0,3033.0,41.0,66.0,2.0,2.7,30.0,41.1,1.0
3914922.0,Rigoberto Sanchez,29.0,IND,P,17.0,0.0,68.0,3281.0,48.3,370.0,2911.0,42.8,69.0,0.0,0.0,21.0,30.9,0.0
4240128.0,Trenton Gill,24.0,CHI,P,17.0,0.0,67.0,3088.0,46.1,381.0,2547.0,38.0,76.0,8.0,11.9,18.0,26.9,0.0
3929851.0,Michael Dickson,27.0,SEA,P,17.0,0.0,66.0,3303.0,50.0,234.0,2909.0,44.1,73.0,8.0,12.1,25.0,37.9,0.0
549816.0,Cameron Johnston,31.0,HOU,P,13.0,0.0,66.0,3145.0,47.7,203.0,2882.0,43.7,74.0,3.0,4.5,30.0,45.5,0.0
4260224.0,Jordan Stout,25.0,BAL,P,17.0,0.0,66.0,3158.0,47.8,436.0,2622.0,39.1,67.0,5.0,7.6,28.0,42.4,1.0
,Ethan Evans,22.0,LAR,P,17.0,0.0,63.0,3101.0,49.2,503.0,2458.0,38.4,72.0,7.0,11.1,20.0,31.7,1.0
559659.0,Logan Cooke,28.0,JAX,P,17.0,0.0,61.0,2893.0,47.4,154.0,2659.0,43.6,65.0,4.0,6.6,29.0,47.5,0.0
3915398.0,Tommy Townsend,27.0,KAN,P,17.0,0.0,59.0,2776.0,47.1,207.0,2473.0,41.9,68.0,5.0,8.5,20.0,33.9,0.0
4361823.0,Ryan Wright,23.0,MIN,P,17.0,0.0,59.0,2886.0,48.9,291.0,2455.0,41.6,68.0,7.0,11.9,17.0,28.8,0.0
3916370.0,Jack Fox,27.0,DET,P,17.0,0.0,57.0,2646.0,46.4,197.0,2329.0,40.9,70.0,5.0,8.8,26.0,45.6,0.0
4248789.0,Daniel Whelan,24.0,GNB,P,17.0,0.0,57.0,2634.0,46.2,291.0,2243.0,39.4,68.0,5.0,8.8,18.0,31.6,0.0
,Jake Bailey,26.0,MIA,P,17.0,0.0,53.0,2424.0,45.7,207.0,2157.0,40.7,66.0,3.0,5.7,20.0,37.7,0.0
4256051.0,Ryan Stonehouse,24.0,TEN,P,12.0,0.0,53.0,2812.0,53.1,266.0,2346.0,44.3,74.0,10.0,18.9,28.0,52.8,0.0
4035685.0,Mitch Wishnowsky,31.0,SFO,P,17.0,0.0,52.0,2480.0,47.7,220.0,2220.0,42.7,67.0,2.0,3.8,26.0,50.0,0.0
4045180.0,Blake Gillikin,25.0,ARI,P,13.0,0.0,51.0,2580.0,50.6,354.0,2186.0,42.9,77.0,2.0,3.9,11.0,21.6,0.0
,Sam Martin,33.0,BUF,P,17.0,0.0,51.0,2334.0,45.8,244.0,2030.0,39.8,70.0,3.0,5.9,24.0,47.1,0.0
238199.0,Bryan Anger,35.0,DAL,P,17.0,0.0,44.0,2262.0,51.4,247.0,1995.0,45.3,63.0,2.0,4.5,17.0,38.6,0.0
4035239.0,Braden Mann,26.0,PHI,P,15.0,0.0,44.0,2190.0,49.8,244.0,1926.0,43.8,63.0,1.0,2.3,15.0,34.1,0.0
,Nolan Cooney,27.0,ARI,P,4.0,0.0,13.0,592.0,45.5,48.0,524.0,40.3,56.0,1.0,7.7,2.0,15.4,0.0
504174.0,Brad Wing,32.0,PIT,P,2.0,0.0,11.0,495.0,45.0,27.0,428.0,38.9,52.0,2.0,18.2,3.0,27.3,0.0
4371989.0,Arryn Siposs,31.0,PHI,P,2.0,0.0,8.0,347.0,43.4,40.0,307.0,38.4,54.0,0.0,0.0,2.0,25.0,0.0
546439.0,Matt Haack,29.0,CLE,P,1.0,0.0,3.0,155.0,51.7,30.0,125.0,41.7,56.0,0.0,0.0,0.0,0.0,0.0
479837.0,Nick Folk,39.0,TEN,K,17.0,0.0,2.0,81.0,40.5,3.0,78.0,39.0,41.0,0.0,0.0,0.0,0.0,0.0
157607.0,Greg Joseph,29.0,MIN,K,17.0,0.0,1.0,14.0,14.0,17.0,-3.0,-3.0,14.0,0.0,0.0,0.0,0.0,0.0
